Fargenavn,             HEX-kode
Comfort Grey,          #BEB9AF
Kokos,                 #E3DDCD
Ascott,                #C8C3B8
Malmø,                 #E4DCBC
Adventure,             #A38269
Hvit Te,               #D4CBB9
Peach Sky,             #EAD0B1
Tender Greige,         #908C85
Muted Coral,           #BB7D69
Shams,                 #E3C4A2
Sandbeige,             #B7AD9C
Mellow,                #8B7467
Free Spirit,           #6B7E7E
Darjeeling,            #9BADAB
Spring Breeze,         #D5E0DC
Pistachio,             #C8CDAF
Peachy,                #C1A082
Cypress,               #929D82
Forest Light,          #D8C8A2
Silky Blue,            #D2DADB
Earthy Yellow,         #CDBC94
Shade,                 #9D9385
Secret Green,          #D9DDC5
Avocado Green,         #B8BF9B
Grey Touch,            #D8D4CB
Athenian Blue,         #8B9B99
Sea Mist,              #BCD0CC
Rural,                 #AF957A
Sunny Green,           #D0CCB1
Khaki Yellow,          #AF9E7A
Frostrøyk,             #E4E0D3
Soothing Beige,        #CAC0AF
Antwerp Beige,         #B9AF9F
Sheer Grey,            #CCC7BD
Comfort Grey,          #BEB9AF
Bergknatt,             #696967
Soft Brown,            #89755F
Rock Sugar,            #BD9E7A
Klassisk Hvit,         #F0EFE9
Mindful Green,         #7C877C
Subtle Green,          #ABAF9B
Green Tea,             #9F9B7C
Mexico,                #B99E6B
Fresh Pasta,           #E9DAB1
True Blue,             #426884
Muted Coral,           #BB7D69
Jord,                  #7E6A62
Healing Lavender,      #A59D9A
Fabrikk,               #BBC0C0
Refleksjon,            #EBE9E1
Earthy Yellow,         #CDBC94
Pistachio,             #C8CDAF
Indi Pink,             #D1B9AA
Urtehage,              #B2A97F
Lysning,               #CDB385
Soft,                  #DCD1BA
Burnt Ochre,           #C99765
Rustic Brown,          #887E6E
Contemporary White,    #E1DACA
Natural Green,         #7A7861
Silke,                 #EAE7DC
Dempet Savanne,        #BCAA8F
Sophisticated Red,     #7C5953
Soft Radiance,         #D9CCB0
Statement Red,         #A6544A
Poetry Red,            #9B6156
Collected Blue,        #99A6A5
Bella,                 #D9916D
Dusk Green,            #C4C7B1
